Id,SalePrice
1461,125111.65115988934
1462,160619.45526096653
1463,181843.31044938831
1464,192903.70807357944
1465,192547.9543710417
1466,178506.92078536836
1467,174599.130618891
1468,170779.67927711134
1469,186427.02992136622
1470,125531.44701342439
1471,191267.40291050667
1472,96719.39269221277
1473,97582.41994895207
1474,146333.43908030732
1475,120619.22784895787
1476,374356.6099494837
1477,256465.60658671378
1478,294368.9334690921
1479,287907.4524718488
1480,489137.8099153259
1481,343400.3293405635
1482,213770.9438527512
1483,179569.2666108127
1484,165564.97606010537
1485,184996.45848964714
1486,198295.2539278004
1487,354919.8719479208
1488,236167.47822300662
1489,197258.70024936588
1490,221278.5089911451
1491,194245.88531611845
1492,97108.06682406053
1493,177412.16336673137
1494,294855.2953225069
1495,293278.5039850201
1496,228850.1095247631
1497,183545.74912414738
1498,161391.39259213736
1499,156511.12240407898
1500,156326.94498845382
1501,176452.69097963616
1502,150477.29509684417
1503,275684.84192164586
1504,239802.12397806844
1505,223225.41238497267
1506,193316.17418328184
1507,236529.12457402228
1508,200978.58182515393
1509,167828.8218696862
1510,147415.00293382973
1511,152976.4057247021
1512,171419.39811124012
1513,146283.4561972123
1514,159738.86212406994
1515,186513.8188404777
1516,158342.08768002182
1517,164302.93943923674
1518,129353.00752423628
1519,216435.8265197124
1520,137637.9280416539
1521,141451.18288668877
1522,171550.87895312937
1523,114140.3896094281
1524,130652.31654647495
1525,126573.7072682481
1526,115765.64934180662
1527,105748.78759992473
1528,139191.65212161114
1529,153725.23510792688
1530,177875.84119458267
1531,111837.26325426502
1532,99289.37595321669
1533,145907.57900074584
1534,122259.87886261061
1535,158759.4787748902
1536,111960.09006406386
1537,69531.46823497272
1538,162550.05369348446
1539,195890.9612412537
1540,102114.22982327938
1541,146092.36372697641
1542,141309.8387510774
1543,199499.8462063717
1544,85275.47087504755
1545,109398.18498914884
1546,128822.02215120297
1547,133047.8247248341
1548,134264.80811472426
1549,115132.31272742948
1550,133249.7322585242
1551,110278.85463303693
1552,140273.18333924052
1553,146776.02866196496
1554,118311.63716968142
1555,172885.68370829732
1556,93989.01016810279
1557,110236.5349505707
1558,95957.33449624752
1559,87907.27907631529
1560,136502.08272236615
1561,128458.97905315174
1562,126174.99687738546
1563,121526.1562320071
1564,158757.21403526608
1565,146601.8534818803
1566,242673.3336711356
1567,77628.16008834277
1568,238899.25893996406
1569,143349.96111128607
1570,140207.04409230547
1571,127164.3177247925
1572,146326.5871741947
1573,248496.79336984162
1574,116945.41900240116
1575,227337.59347083495
1576,231804.29201974292
1577,190625.11755836173
1578,143404.4814051275
1579,149556.4242009948
1580,195193.21372549247
1581,150531.15310391347
1582,125886.75894732607
1583,302834.78241533565
1584,230113.35898457488
1585,140875.53002144187
1586,70857.93563187083
1587,100242.40723392225
1588,155333.9966432246
1589,99358.38258183819
1590,133231.80312649248
1591,98934.13273872876
1592,118496.15877296407
1593,120595.08942414506
1594,129693.62432110791
1595,113634.4272991378
1596,234919.37246169065
1597,193637.18515617994
1598,223651.60938310676
1599,170675.4592149692
1600,164272.28170710473
1601,70431.66407179128
1602,114655.29825645672
1603,86208.18983397979
1604,266541.15256464836
1605,249621.95974537244
1606,170785.4204684996
1607,169224.68113748298
1608,217732.08386731672
1609,188013.20514494894
1610,162268.8113234103
1611,144293.35848362764
1612,170689.2554479345
1613,162971.9119251384
1614,124216.18907180849
1615,91949.67369423689
1616,82125.67145015499
1617,92547.82800319522
1618,126335.45184204637
1619,142938.69066747234
1620,159323.32875911
1621,138922.14595852484
1622,145523.14952771927
1623,265994.8763813338
1624,216154.36000455613
1625,121188.09176385027
1626,166695.56775300374
1627,193185.56672340794
1628,277668.32256861846
1629,178974.26923469082
1630,353340.6751169069
1631,227092.7062632362
1632,246749.4019148044
1633,167823.52989626466
1634,188266.20910396232
1635,179398.8324645751
1636,155284.50634145844
1637,198709.43297552812
1638,199693.40743768754
1639,181167.66473745974
1640,266554.182777519
1641,184871.5050840902
1642,237882.41462497867
1643,231289.3783931099
1644,236278.79944188066
1645,198375.55022022044
1646,161548.15436882988
1647,161078.8042544557
1648,132405.43590305003
1649,144849.62320005888
1650,113682.39801765095
1651,125532.2469353655
1652,98094.10128182863
1653,99332.05741482145
1654,147511.9184524274
1655,145501.6790646765
1656,143334.54651483576
1657,149533.24610541612
1658,144091.50790028294
1659,124973.39741588313
1660,151590.69164775332
1661,461623.80862228334
1662,394370.96704338357
1663,384738.94373076974
1664,491516.4057762238
1665,313883.2916217253
1666,358758.68117160193
1667,399692.2238299465
